category 0: RED; SEA; BLUE; BLACK; WHITE; GREEN; YELLOW; PINK; COLORFUL; BROWN; PURPLE; CARIBBEAN; CROSS; COLORS; SCARLET; SOX; GRAY; HOT; RIVER; ORANGE; HUNT; MEDITERRANEAN; HOOD; OCTOBER; ADRIATIC; VIOLET; WINE; BERING; NORTH; FLAG; BLUES; BARON; BALTIC; AUERBACH; SILVER; BLOOD; SHIELD; RIDING; CHILI; PEPPERS; (OR; MAO; COLOR; HOLE; BOSTON; CARPET; BONNET; BLACKJACK; NILE; TAN,World Geogrpahy,0
category 1: BIG; BILL; EASY; CLINTON; BANG; SCREEN; GATES; BRADLEY; MURRAY; TOP; RUSSELL; COSBY; TV; CHILL; BEN; SLEEP; BROTHER; BEAR; THEORY; MAHER; STARS; FISH; BLUE; MOYERS; MR; JIMMY; FOOT; DIPPER; BAD; BUFFALO; BRUCE; CODY; BILLS; RIDER; BIRD; PARADE; CRY; DAY; RED; STAR; O'REILLY; RIGHTS; WILLIAM; FORD; FEET; GREEN; RIVER; TED; HOUSE; TOE,Business,1
category 2: CITY; YORK; SAN; FRANCISCO; MEXICO; ITALY; FRANCE; CANADA; GERMANY; LAKE; AUSTRALIA; UNITED; JAPAN; COUNTRY; COUNTRIES; ORLEANS; BOSTON; INDIA; GREECE; CHICAGO; CITIES; CHINA; SWEDEN; SPAIN; LOS; ANGELES; ST; RUSSIA; STATES; DENMARK; LONDON; ISRAEL; NETHERLANDS; IRELAND; SOUTH; BRAZIL; ATLANTA; TIMES; PHILADELPHIA; SALT; INDONESIA; CUBA; PAKISTAN; DETROIT; KANSAS; PITTSBURGH; EGYPT; DENVER; POLAND; ENGLAND,Geography,2
category 3: GREAT; NAMES; ALEXANDER; PETER; CATHERINE; LAKE; CHINA; WALL; EXPECTATIONS; BRITAIN; GATSBY; SHARK; WHITE; ANCIENT; FREDERICK; PLACE; SCOTT; REEF; SALT; IVAN; ISLAND; LAKES; BARRIER; SMALL; DANE; CENTURY; FIRE; EMPIRE; SPAIN; RICHARD; HAMMURABI; FRANCE; DICKENS; SIR; (THE; U.S; JAMES; CAESAR; DAVID; BEAR; NICHOLAS; GEOGRAPHIC; BOOK; SPORTS; PETE; DROOD; II; BOWL; FALLS; JULIUS,Great People,3
category 4: WAR; WORLD; CIVIL; YEARS; KOREAN; II; VIETNAM; PEACE; CRIMEAN; SPANISH-AMERICAN; REVOLUTIONARY; HUNDRED; COLD; SPANISH; 1812; WARS; BOER; BATTLE; THIRTY; PELOPONNESIAN; MEXICAN-AMERICAN; WORLDS; SHERMAN; TROJAN; HOLY; INDIAN; ARMY; HELL; JAMES; LIGHTNING; GETTYSBURG; NUCLEAR; ROSES; FRENCH; HISTORY; NAPOLEON; BONDS; AMERICAN; FRONT; EDWARD; RUSSO-JAPANESE; FRANKLIN; WILLIAM; UNITED; FRANCO-PRUSSIAN; U.S; GEORGE; PATRIOT; GULF; ROMAN,world history,4
category 5: JACK; QUEEN; DOUBLE; ELIZABETH; VICTORIA; JOHNSON; LONDON; II; MARY; ISABELLA; NICHOLSON; ANNE; RIPPER; MARY; SHEBA; LEMMON; SCOTS; HOUSE; SAVE; BENNY; GOD; PRINCESS; PAAR; KING; JACKS; NICKLAUS; PRINCE; CLEOPATRA; CAPTAIN; JAMES; ANDERSON; DEMPSEY; QUEENS; HEARTS; OPERA; DELTA; BLACK; BRITISH; WEBB; PEOPLE; AFRICAN; LORD; JOE; LATIFAH; KEROUAC; NURSERY; ROYAL; RHYME; TOM; SAN,literature,5
category 6: GEORGE; WASHINGTON; BUSH; JOHN; W; H.W; JAMES; WILLIAM; ROOSEVELT; S; WILSON; LINCOLN; RICHARD; III; JEFFERSON; NIXON; MARSHALL; REAGAN; EISENHOWER; HARRISON; THOMAS; JOHNSON; CLINTON; HENRY; CLOONEY; D; ADAMS; DAVID; WOODROW; HERBERT; II; FRANKLIN; BERNARD; SHAW; TRUMAN; BILL; WALLACE; JIMMY; JACKSON; FORD; CUSTER; GRANT; RONALD; HARRY; ABRAHAM; FOREMAN; CARTER; GERALD; KENNEDY; GERSHWIN,presidents and U.S. History,6
category 7: MAN; YOUNG; IRON; MILLION; SEA; RAIN; SEASONS; DOLLAR; RAY; DEAD; WALKING; INVISIBLE; WAR; LA; FILM; BIG; MANCHA; WOMAN; SHOW; MUSIC; OLD; FILMS; O; SUPERMAN; JOHN; CHICO; GEORGE; RIGHTS; MOVIES; BRADY; KING; ALIVE; PLAY; PORTRAIT; FESTIVAL; STORY; LOVE; AMERICAN; ARMS; SPACE; VALANCE; HIT; SIX; MIDNIGHT; TOWN; HEMINGWAY; HOUSE; MAN; WORDS; BLUE,theater,7
category 8: JOHN; PAUL; ADAMS; KENNEDY; F; THOMAS; POPE; JAMES; JONES; II; ROOSEVELT; SMITH; JEFFERSON; QUINCY; WILLIAM; NIXON; HENRY; RICHARD; ELTON; PRESIDENTIAL; REAGAN; JOHNSON; WAYNE; D; JAY; LENNON; DAVID; FORD; FRANKLIN; RONALD; HARRY; TRUMAN; BROWN; ROBERT; THEODORE; CLINTON; EISENHOWER; BUCHANAN; MCCAIN; LYNDON; JACKSON; GEORGE; C; HANCOCK; LINCOLN; BAPTIST; WILSON; TYLER; ANDREW; GERALD,US History,8
category 9: TIME; RHYME; PRIME; MACHINE; DAY; PEACE; REAL; ZONE; LONG; MAN; TEA; TOM; SONGS; WARNER; SANDERS; PACIFIC; DAYLIGHT; SIDE; DAYS; CAPSULE; TIM; CENTRAL; EASTERN; TIMES; MOUNTAIN; MILLER; ONE; PM; BORROWED; KILL; WAR; P.M; LIFE; (OR; CLOSING; SMALL; JACK; SAVINGS; TV; GAME; 3; SIMON; STANDARD; NICK; HOUR; FLIES; SHOW; PETER; T; FATHER,Measurements,9
category 10: GENERAL; BROTHERS; GRAND; BABY; 3; HISTORIC; VAN; GOGH; SUMMER; MOTORS; CENTRAL; CANYON; HOSPITAL; ATTORNEY; VINCENT; BLUES; GRIMM; REMBRANDT; HOTEL; GOLDEN; ST; EVERLY; SPRING; TV; ART; DE; PAUL; DR; STATION; NELSON; MILLS; SUITE; BROTHER; POSTMASTER; BUSINESS; GAUGUIN; SISTERS; ELECTRIC; MARY; MARX; KARAMAZOV; WINTER; JONAS; SURGEON; BOOM; U.S; PRIX; NUMBER; 42ND; ROSEMARY'S,Art and Entertainment,10
